      #(t)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     162     0.0371947     0.0525991   0.000221311   0.000409163   2.02562e-16   2.16393e-07    -0.0178472   0.000123899     0.0835194     0.0205017    -0.0630177     0.0123087
     163     0.0364805     0.0515892   0.000213367    0.00040047   2.00192e-16   2.05902e-07    -0.0177411   0.000123131      0.081542     0.0196038    -0.0619382     0.0117465
     164     0.0357842     0.0506046   0.000205709   0.000392025   1.99314e-16      1.96e-07    -0.0176355   0.000122368     0.0796095     0.0187299    -0.0608796     0.0112102
     165     0.0351054     0.0496446   0.000198325   0.000383822   2.08374e-16   1.86652e-07    -0.0175303    0.00012161     0.0777211     0.0178794    -0.0598416     0.0106989
     166     0.0344437     0.0487089   0.000191207   0.000375853   2.02178e-16   1.77825e-07    -0.0174256   0.000120857     0.0758757     0.0170519    -0.0588238     0.0102112
     167     0.0337987     0.0477968   0.000184344   0.000368111   1.99733e-16   1.69488e-07    -0.0173214   0.000120108     0.0740726     0.0162466    -0.0578259    0.00974624
     168     0.0331701     0.0469078   0.000177728   0.000360589   1.96475e-16   1.61612e-07    -0.0172177   0.000119365     0.0723108     0.0154632    -0.0568476    0.00930293
     169     0.0325575     0.0460415   0.000171349   0.000353283   2.05655e-16   1.54169e-07    -0.0171144   0.000118627     0.0705895      0.014701    -0.0558885    0.00888028
     170     0.0319605     0.0451974   0.000165199   0.000346184   1.99853e-16   1.47134e-07    -0.0170117   0.000117893     0.0689078     0.0139596    -0.0549482    0.00847737
     171     0.0313789     0.0443749    0.00015927   0.000339288   2.08371e-16   1.40483e-07    -0.0169094   0.000117164     0.0672649     0.0132384    -0.0540266     0.0080933
     172     0.0308123     0.0435737   0.000153554   0.000332588   1.99668e-16   1.34193e-07    -0.0168077    0.00011644       0.06566     0.0125369    -0.0531231     0.0077272
     173     0.0302603     0.0427931   0.000148043   0.000326078   2.01408e-16   1.28244e-07    -0.0167065    0.00011572     0.0640923     0.0118548    -0.0522375    0.00737827
     174     0.0297227     0.0420327    0.00014273   0.000319754    2.0011e-16   1.22614e-07    -0.0166057   0.000115005      0.062561     0.0111914    -0.0513696     0.0070457
     175      0.029199     0.0412921   0.000137607   0.000313609   1.99286e-16   1.17286e-07    -0.0165055   0.000114294     0.0610653     0.0105464    -0.0505188    0.00672875
     176     0.0286889     0.0405709   0.000132669   0.000307639   1.92541e-16   1.12242e-07    -0.0164058   0.000113589     0.0596044    0.00991937     -0.049685     0.0064267
     177     0.0281922     0.0398684   0.000127907   0.000301838   1.98463e-16   1.07466e-07    -0.0163066   0.000112887     0.0581776    0.00930977    -0.0488678    0.00613885
     178     0.0277085     0.0391844   0.000123317   0.000296201   2.00594e-16   1.02942e-07    -0.0162079    0.00011219     0.0567842    0.00871723    -0.0480669    0.00586457
     179     0.0272375     0.0385183   0.000118891   0.000290724   2.00961e-16   9.86558e-08    -0.0161098   0.000111498     0.0554234    0.00814133     -0.047282     0.0056032
     180     0.0267788     0.0378697   0.000114625   0.000285402   2.00455e-16   9.45934e-08    -0.0160122    0.00011081     0.0540945    0.00758167    -0.0465128    0.00535416
     181     0.0263323     0.0372383   0.000110511   0.000280231   1.93885e-16   9.07421e-08    -0.0159151   0.000110126     0.0527968    0.00703786     -0.045759    0.00511687
     182     0.0258976     0.0366235   0.000106545   0.000275206   1.97214e-16     8.709e-08    -0.0158185   0.000109447     0.0515297    0.00650953    -0.0450202    0.00489078
